Image Name,Normal,COVID,Pneumonia,Lung Opacity,Image Path
1546cd86-7be1-4c3c-934b-ef271c198c92.png,1,0,0,0,/train/1546cd86-7be1-4c3c-934b-ef271c198c92.png
dff20324-e70a-4972-9f88-5587453ffb30.png,1,0,0,0,/train/dff20324-e70a-4972-9f88-5587453ffb30.png
616797e1-e2d0-485e-9d2d-5c2bb7d7b5a7.png,1,0,0,0,/train/616797e1-e2d0-485e-9d2d-5c2bb7d7b5a7.png
c148999c-9520-453a-9359-bfdc5c0090dd.png,1,0,0,0,/train/c148999c-9520-453a-9359-bfdc5c0090dd.png
80b9b1cc-991a-428d-826c-fac3bf595d3c.png,1,0,0,0,/train/80b9b1cc-991a-428d-826c-fac3bf595d3c.png
eeda327d-e707-4240-a5ca-bf9df2b7ba17.png,1,0,0,0,/train/eeda327d-e707-4240-a5ca-bf9df2b7ba17.png
ced11401-b744-4aa8-a230-9f4fae8ae6f0.png,1,0,0,0,/train/ced11401-b744-4aa8-a230-9f4fae8ae6f0.png
82fd1e97-1895-4ddf-ac1e-5f3513de76cc.png,1,0,0,0,/train/82fd1e97-1895-4ddf-ac1e-5f3513de76cc.png
772f14a3-8bc3-4702-bcac-966df69f4454.png,1,0,0,0,/train/772f14a3-8bc3-4702-bcac-966df69f4454.png
5525d5e4-afd0-49f9-a43d-adc8755c4c1c.png,1,0,0,0,/train/5525d5e4-afd0-49f9-a43d-adc8755c4c1c.png
ee8fa511-a25f-421d-8306-8bac0c377a51.png,1,0,0,0,/train/ee8fa511-a25f-421d-8306-8bac0c377a51.png
2cc8dd6b-45e4-4df6-9064-d2b90b6bbdb1.png,1,0,0,0,/train/2cc8dd6b-45e4-4df6-9064-d2b90b6bbdb1.png
54741a12-fdb2-413c-8dbe-fd84672802b5.png,1,0,0,0,/train/54741a12-fdb2-413c-8dbe-fd84672802b5.png
0adfdb23-e82c-413b-b707-76d255d403a2.png,1,0,0,0,/train/0adfdb23-e82c-413b-b707-76d255d403a2.png
5d3045e9-82d4-44e1-9204-13e6128c7d4a.png,1,0,0,0,/train/5d3045e9-82d4-44e1-9204-13e6128c7d4a.png
e6cca4a2-c3a5-4d60-810a-6bbd52b11694.png,1,0,0,0,/train/e6cca4a2-c3a5-4d60-810a-6bbd52b11694.png
77bef94d-46d4-4749-9d1c-e82125df8f6b.png,1,0,0,0,/train/77bef94d-46d4-4749-9d1c-e82125df8f6b.png
fe895646-4a44-477c-9411-ee28a6c3fe5d.png,1,0,0,0,/train/fe895646-4a44-477c-9411-ee28a6c3fe5d.png
b6df7519-769d-40e1-991f-adfd46247419.png,1,0,0,0,/train/b6df7519-769d-40e1-991f-adfd46247419.png
1badee31-064e-46f0-be68-04a84f2239bc.png,1,0,0,0,/train/1badee31-064e-46f0-be68-04a84f2239bc.png
63a2037d-efcc-4341-80b2-f5f53876eb4e.png,1,0,0,0,/train/63a2037d-efcc-4341-80b2-f5f53876eb4e.png
648b7a04-2860-41b4-a830-4baeb67e105b.png,1,0,0,0,/train/648b7a04-2860-41b4-a830-4baeb67e105b.png
2d6a829d-e21d-4028-90e1-4d97540159b8.png,1,0,0,0,/train/2d6a829d-e21d-4028-90e1-4d97540159b8.png
4e659ea0-69b8-419e-9dd5-9cf3940e04da.png,1,0,0,0,/train/4e659ea0-69b8-419e-9dd5-9cf3940e04da.png
fb6379d3-6fbe-4e43-8d19-a9178bdf5c3e.png,1,0,0,0,/train/fb6379d3-6fbe-4e43-8d19-a9178bdf5c3e.png
1c380f59-1025-42fa-b3c9-bce4fc40ee99.png,1,0,0,0,/train/1c380f59-1025-42fa-b3c9-bce4fc40ee99.png
b3fd2c74-7e4d-40d8-809b-34a169d1c753.png,1,0,0,0,/train/b3fd2c74-7e4d-40d8-809b-34a169d1c753.png
c5750cef-fc1d-4d57-b73d-da38704a0dbb.png,1,0,0,0,/train/c5750cef-fc1d-4d57-b73d-da38704a0dbb.png
dcfb0ff3-c74a-4456-abe3-d64cc94f5617.png,1,0,0,0,/train/dcfb0ff3-c74a-4456-abe3-d64cc94f5617.png
1f10115f-0e45-4ae7-94ad-01235d829a1f.png,1,0,0,0,/train/1f10115f-0e45-4ae7-94ad-01235d829a1f.png
9a6ed275-5dd9-489f-95fe-2fe11f50fc3e.png,1,0,0,0,/train/9a6ed275-5dd9-489f-95fe-2fe11f50fc3e.png
ccd4cb65-54f4-46de-bf1d-45659ee55d79.png,1,0,0,0,/train/ccd4cb65-54f4-46de-bf1d-45659ee55d79.png
ac663d51-9aee-4424-a1d7-b9549456adcb.png,1,0,0,0,/train/ac663d51-9aee-4424-a1d7-b9549456adcb.png
18149c63-c09c-49bf-bbef-b35cfd8846ae.png,1,0,0,0,/train/18149c63-c09c-49bf-bbef-b35cfd8846ae.png
c822652d-0c1b-49e4-93b8-58c293e398aa.png,1,0,0,0,/train/c822652d-0c1b-49e4-93b8-58c293e398aa.png
ff111a62-8f2d-4de8-81d0-b8ea32958c85.png,1,0,0,0,/train/ff111a62-8f2d-4de8-81d0-b8ea32958c85.png
53481a41-fe3d-48a7-8c56-b5266de11eb8.png,1,0,0,0,/train/53481a41-fe3d-48a7-8c56-b5266de11eb8.png
ac817a17-e0f5-4661-a588-212789f8ae8d.png,1,0,0,0,/train/ac817a17-e0f5-4661-a588-212789f8ae8d.png
cbdaf57b-94a2-4be2-8ce4-5b6dad2431f0.png,1,0,0,0,/train/cbdaf57b-94a2-4be2-8ce4-5b6dad2431f0.png
6d574498-d435-4159-86b9-43d044092e34.png,1,0,0,0,/train/6d574498-d435-4159-86b9-43d044092e34.png
5dd489c1-da7a-4ae2-be2d-470290d547e9.png,1,0,0,0,/train/5dd489c1-da7a-4ae2-be2d-470290d547e9.png
888e0fd5-1f98-47b2-9e48-d5a22aced565.png,1,0,0,0,/train/888e0fd5-1f98-47b2-9e48-d5a22aced565.png
ad302732-f5fe-491c-8c3c-c666ccda3450.png,1,0,0,0,/train/ad302732-f5fe-491c-8c3c-c666ccda3450.png
c999d3df-10c9-48fc-bb1a-10e53d71f566.png,1,0,0,0,/train/c999d3df-10c9-48fc-bb1a-10e53d71f566.png
8dd3e4d7-a0b6-4152-95db-984f33e07ff6.png,1,0,0,0,/train/8dd3e4d7-a0b6-4152-95db-984f33e07ff6.png
21ab0fd9-3d7f-4c23-96bb-14fe791f6f66.png,1,0,0,0,/train/21ab0fd9-3d7f-4c23-96bb-14fe791f6f66.png
